pl_name,period,radius,depth,star_temp,star_radius,insolation,label_raw,source,label,log_period,log_insolation,radius_star_ratio,density_proxy,planet_temp_estimate
K00751.01,4.99677968,2.78,934.7,5339.0,0.847,166.95,CONFIRMED,Kepler,1.0,1.7912226051423177,5.123666316058301,3.282172373081464,0.9511550733652074,4915.203777681657
K00769.01,4.280963604,2.3,750.8,5644.0,0.831,247.87,CONFIRMED,Kepler,1.0,1.6641085818245085,5.5169306717757145,2.7677496991576414,0.872368841923787,5560.345159914095
K00770.01,1.50635409,4.53,2211.7,5714.0,0.831,1054.12,FALSE POSITIVE,Kepler,0.0,0.9188291433798816,6.961409783517629,5.451263537906137,3.4473085356511293,9489.91264218835
K00771.01,670.645531,14.14,18091.0,5520.0,0.983,0.35,FALSE POSITIVE,Kepler,0.0,6.509730717723765,0.3001045924503381,14.384537131230926,0.18455283438008815,472.55713121557
K00772.01,61.2563628,39.87,5123.3,6144.0,1.091,15.43,FALSE POSITIVE,Kepler,0.0,4.131260743775976,2.799108932049177,36.54445462878093,2.565736769822846,1833.4665090804724
K00773.01,38.3775486,2.82,724.2,5481.0,1.036,18.53,CONFIRMED,Kepler,1.0,3.6731958214003435,2.9719517448885875,2.7220077220077217,0.24785496406666402,2013.659645718893
K00757.02,41.19725502,3.86,2213.9,5031.0,0.848,8.76,CONFIRMED,Kepler,1.0,3.742355172006892,2.278292400425001,4.55188679245283,0.3235999541575495,1613.9984216370704
K00757.03,6.252962249,2.65,1036.9,5031.0,0.848,108.3,CONFIRMED,Kepler,1.0,1.9814099714869908,4.694096395182493,3.125,0.780767995412659,4142.803574186154
K00758.01,16.01308419,3.1,1121.9,5015.0,0.826,29.31,CONFIRMED,Kepler,1.0,2.833982706256498,3.4114776910697118,3.7530266343825667,0.4879534232736818,2546.879921811203
K00759.01,32.62876672,3.36,1804.8,5586.0,0.798,15.55,CONFIRMED,Kepler,1.0,3.515381853060713,2.806386101823072,4.2105263157894735,0.32905778609188213,1953.3814075175655
K00759.02,91.7732862,2.12,652.0,5586.0,0.798,3.92,CONFIRMED,Kepler,1.0,4.530158734127158,1.5933085305042167,2.656641604010025,0.10419774946008037,1164.7406629590962
K00760.01,4.959319244,12.21,9802.0,5712.0,1.082,349.4,CONFIRMED,Kepler,1.0,1.7849562537481962,5.859075359062237,11.284658040665434,4.198565698916173,5965.897650043598
K00761.01,2.701287801,6.54,860.4,5550.0,0.91,527.81,FALSE POSITIVE,Kepler,0.0,1.3086808134176477,6.270629199099972,7.186813186813187,3.3718158159630165,7202.997313397944
K00762.01,4.49876511,2.1,460.0,6075.0,0.969,389.62,CONFIRMED,Kepler,1.0,1.7045235415742663,5.967735220408745,2.1671826625387,0.7705906748526793,6304.439970152703
K00763.01,19.651209505,12.42,11766.0,6074.0,1.063,67.03,FALSE POSITIVE,Kepler,0.0,3.0277738893624906,4.219948784356969,11.683913452492945,1.7055406386888805,3158.8701876102423
K00115.01,5.412203927,2.94,601.6,5779.0,1.087,337.68,CONFIRMED,Kepler,1.0,1.8582030382028938,5.825055708774077,2.704691812327507,0.9537427047799605,5791.157716076633
K00764.01,41.43958662,5.5,2793.1,5468.0,1.046,16.72,CONFIRMED,Kepler,1.0,3.7480815733590425,2.8746939451769347,5.25812619502868,0.4592886852280964,1942.5474818513312
K00765.01,8.35389523,2.52,1041.6,5592.0,0.787,91.9,CONFIRMED,Kepler,1.0,2.235792858685056,4.531523645819793,3.2020330368487926,0.612079533462213,3837.91205681192
K00766.01,4.125543472,4.43,1487.3,6174.0,1.103,565.35,CONFIRMED,Kepler,1.0,1.63423656271935,6.339212261646723,4.016319129646418,1.7221974732698369,7138.365806295145
K00767.01,2.816504904,12.21,16814.0,5532.0,0.955,521.13,CONFIRMED,Kepler,1.0,1.3393350572025033,6.257916599022385,12.785340314136127,6.122216114005442,7203.003130439006
K00768.01,33.93373447,7.34,8503.7,5040.0,0.705,8.11,FALSE POSITIVE,Kepler,0.0,3.553452966072751,2.209372711271867,10.411347517730498,0.7002852115596401,1624.4048164148899
